reef_name,Total_fish_count,Total_Select_Species,RBA,y,x
Crocodiles,45,25,55.55555556,,
Cruzeiro,7,2,28.57142857,,
Cueva de las Golondrinas_La Caleta,25,13,52,,
"Curacao Sea Aquarium House Reef, Plot A #1",676,459,67.89940828,,
Cypress,284,96,33.8028169,,
Dairy Bull,245,115,46.93877551,,
Dancing Lady,27,17,62.96296296,,
Dardanelos,51,17,33.33333333,,
Davis Cove East,13,10,76.92307692,,
Diamond,0,0,#DIV/0!,,
Diamond Reef,1504,620,41.22340426,,
Dickies Reef,88,31,35.22727273,,
Dicky C,404,229,56.68316832,,
Do̱a Nica,80,12,15,,
Doctor's Cave Buoy,73,39,53.42465753,,
Dominicus Reef,121,89,73.55371901,,
Don Andy,118,7,5.93220339,,
Donut,1085,101,9.30875576,,
Dos Ojos,0,0,#DIV/0!,,
Dragon Bay North,0,0,#DIV/0!,,
Dragon Bay South,82,48,58.53658537,,
Drunkenman's Cay,433,202,46.65127021,,
Dunns River,3,1,33.33333333,,
Eagle Ray Alley,62,35,56.4516129,,
Eagle Ray Pass,35,11,31.42857143,,
East Bay 1A - South Caicos,3,3,100,,
East Bay 1B - South Caicos,95,23,24.21052632,,
East Bay 1B-2,89,22,24.71910112,,
East Bay 2A - South Caicos,3,3,100,,
East Bay 3A - South Caicos,195,33,16.92307692,,
East Bay 3B,29,2,6.896551724,,
East Bay 4A,0,0,#DIV/0!,,
East Bay 4B - South Caicos,38,14,36.84210526,,
East Bay 5A,5,2,40,,
East Bay 5B - South Caicos,9,4,44.44444444,,
East Bay 6A - South Caicos,0,0,#DIV/0!,,
East Bay 6B - South Caicos,173,41,23.69942197,,
East Red Snapper,0,0,#DIV/0!,,
East Rio Bueno,25,0,0,,
"East Snake Caye, Port Honduras",111,48,43.24324324,,
Eastpoint,183,127,69.3989071,,
Eden Roc,5,5,100,,
Eel Garden,30,16,53.33333333,,
Efra's Wall,318,62,19.49685535,,
Einar's Reef,6,0,0,,
El Avion,593,357,60.20236088,,
El Barco,42,15,35.71428571,,
El Cantil,70,51,72.85714286,,
"El Castillo, Boca Chica",40,23,57.5,,
El Coro PNNT,59,6,10.16949153,,
El Faro,239,61,25.52301255,,
El Hotel,6,4,66.66666667,,
El Punto de Negrilo,16,14,87.5,,
El Punto Negrilo,387,165,42.63565891,,
El Remanso,131,53,40.45801527,,
Elbow,161,44,27.32919255,,
Elbow Reef,366,99,27.04918033,,
Elephant Ear Canyon,57,12,21.05263158,,
Englishman's Bay,156,124,79.48717949,,
Escambron,246,100,40.6504065,,
E-SE Mar de For a,3,0,0,,
Esquerda Gales,18,8,44.44444444,,
F020407A,64,7,10.9375,,
F020407B,35,8,22.85714286,,
F040203,25,6,24,,
F040407,96,9,9.375,,
F040905,36,0,0,,
F050203A,48,3,6.25,,
F050203B/F070905B,58,0,0,,
F050905B,62,1,1.612903226,,
F060203 Mano A/F060905A,102,8,7.843137255,,
F310307,65,20,30.76923077,,
False Barreta,69,31,44.92753623,,
Faro Blanco,69,6,8.695652174,,
Fenda da Pedra do Leucogaste,0,0,#DIV/0!,,
Filha das Gales,78,2,2.564102564,,
Fish Point Buoy,20,20,100,,
Fish School Reef,67,55,82.08955224,,
Flamenco Beach,94,45,47.87234043,,
Flamingo Bay South,0,0,#DIV/0!,,
Flamingo Tongue Reef,86,39,45.34883721,,
Flat Land (Laborie),428,24,5.607476636,,
Flower Gardens- Palm Beach County,80,75,93.75,,
Folkestone Marine Park,63,39,61.9047619,,
Fondo Loco,127,67,52.75590551,,
Football Field,40,21,52.5,,
Fort Lauderdale Caves,179,17,9.497206704,,
Frank's Reef,9,5,55.55555556,,
French,80,39,48.75,,
French Bay,206,130,63.10679612,,
French F-3,107,48,44.85981308,,
French Reef,666,256,38.43843844,,
French Reef (Turtle Ledge),109,59,54.12844037,,
French Reef (Woody's Ledge),118,27,22.88135593,,
Frenchman Reef,40,11,27.5,,
Fronton,35,23,65.71428571,,
Ft Liberte Channel mouth east,13,13,100,,
Ft Liberte Channel Mouth NW,0,0,#DIV/0!,,
Ft Liberte Channel SE end,2,2,100,,
Fuel Dock,0,0,#DIV/0!,,
Gales 150403A,7,5,71.42857143,,
Gales 150403B,22,3,13.63636364,,
Gallows Point,231,72,31.16883117,,
Garden of Eels,10,8,80,,
Gardens,111,64,57.65765766,,
George Dog,177,116,65.53672316,,
"George Dog ""Bronco Billy""",103,80,77.66990291,,
Gibson Bight,43,25,58.13953488,,
Gibson Bight 2,136,77,56.61764706,,
Gibson Bight 3,81,43,53.08641975,,
Gibson Bight 4,69,56,81.15942029,,
Gladden Split,120,85,70.83333333,,
Goat Island,37,13,35.13513514,,
Goff's Caye,244,146,59.83606557,,
Goff's Caye Deep,77,46,59.74025974,,
Goff's Caye Shallow,56,31,55.35714286,,
Golden Eye Beach Bar,9,9,100,,
Golden Eye Coral Garden,122,64,52.45901639,,
